ID_REQ;TITLE;METHOD;BASE_URL;URL;INJECTION TYPE ;
3;Case03-InjectionInCalc-String-BooleanExploit-WithErrors.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-500Error/Case03-InjectionInCalc-String-BooleanExploit-WithErrors.jsp?username=textvalue;SQLi;
4;Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp?msg=textvalue;SQLi;
28;Case09-InjectionInUpdate-Numeric-CommandInjection-With200Errors.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Error/Case09-InjectionInUpdate-Numeric-CommandInjection-With200Errors.jsp?msgid=1;SQLi;
29;Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-With200Errors.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-With200Errors.jsp?orderby=1;SQLi;
42;Case04-InjectionInUpdate-String-CommandInjection-WithDifferent200Responses.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Valid/Case04-InjectionInUpdate-String-CommandInjection-WithDifferent200Responses.jsp?msg=textvalue;SQLi;
43;Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithDifferent200Responses.jsp;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Valid/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithDifferent200Responses.jsp?orderby=msgid;SQLi;
60;Case02-InjectionInView-String-Blind-200ValidResponseWithDefaultOnException.jsp - Value 1;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case02-InjectionInView-String-Blind-200ValidResponseWithDefaultOnException.jsp?username=user1;SQLi;
61;Case02-InjectionInView-String-Blind-200ValidResponseWithDefaultOnException.jsp - Value 2;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case02-InjectionInView-String-Blind-200ValidResponseWithDefaultOnException.jsp?username=david;SQLi;
62;Case03-InjectionInView-Date-Blind-200ValidResponseWithDefaultOnException.jsp - Value 1;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case03-InjectionInView-Date-Blind-200ValidResponseWithDefaultOnException.jsp?transactionDate=2010-01-01;SQLi;
63;Case03-InjectionInView-Date-Blind-200ValidResponseWithDefaultOnException.jsp - Value 2;GET;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case03-InjectionInView-Date-Blind-200ValidResponseWithDefaultOnException.jsp?transactionDate=2010-02-02;SQLi;
70;Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp;POST;http://127.0.0.1:8080;/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp;SQLi;
